연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장주소,기업형태,담당기관,등록일,연락처
111,2023.12.26,2023-12-26~2024-01-31,(주)예일로지스,환경 미화원,상용직,월급,1030370,무관,무관,무관,,    ,경기도 광주시 초월읍 산수로 653 (주)예일로지스,중소,경기동부지사,2023.12.26,1588-1519
112,2023.12.26,2023-12-26~2024-01-31,스타크리닝,섬유·의복 분야 단순 종사원,상용직,시급,9860,무관,무관,무관,,    ,경기도 하남시 초일로168번길 11 (초일동),중소,경기동부지사,2023.12.26,1588-1519
113,2023.12.26,2023-12-26~2024-01-31,(주)동구밭,화장품·비누제품 생산기계 조작원,상용직,월급,1030370,무관,무관,무관,,    ,"경기도 하남시 미사강변서로 25 FB329호, FB330호, FB331호, FB332호, (풍산동)",중소,경기동부지사,2023.12.26,1588-1519
114,2023.12.26,2023-12-26~2024-01-10,CJ 씨푸드,환경 미화원,계약직,시급,9800,무관,무관,무관,,    ,경기도 성남시 중원구 둔촌대로388번길 32 (상대원동 5449-1),대기업,경기동부지사,2023.12.26,1588-1519
115,2023.12.26,2023-12-26~2024-02-22,주식회사온셀텍,건물 청소원(클린마스터),상용직,시급,9860,무관,무관,무관,,    ,충청남도 천안시 서북구 3공단6로 86-9 ,중소,충남지사,2023.12.26,1588-1519
116,2023.12.26,2023-12-26~2024-01-11,선한팩토리(주),섬유제품 포장원,상용직,시급,9620,무관,무관,무관,,    ,경기도 부천시 석천로 397 103동 1113호 (삼정동),중소,경기서부지사,2023.12.26,1588-1519
117,2023.12.25,2023-12-25~2024-01-30,(주)영구크린,건물 청소원(클린마스터),계약직,월급,1885725,무관,무관,무관,,    ,"경기도 성남시 수정구 성남대로 1540  (복정동, 영구크린)",중소,충남지사,2023.12.27,1588-1519
118,2023.12.24,2023-12-24~2024-01-08,세종충남대학교병원,직업 운동선수,계약직,월급,1350000,무관,무관,무관,,    ,세종특별자치시  보듬7로 20 407 (도담동),"공사,공공",대전지역본부,2023.12.27,1588-1519
119,2023.12.22,2023-12-22~2024-01-31,(주)티디에스팜,환경 미화원,상용직,시급,9860,무관,무관,무관,,    ,경기도 성남시 분당구 판교로 253 C동 403호(삼평동),중소,충북지사,2023.12.22,1588-1519
120,2023.12.22,2023-12-22~2024-03-03,한국로지스풀(주),사무 보조원,계약직,연봉,30000000,무관,무관,초대졸,,    ,"서울특별시 마포구 마포대로 63-8  (도화동, 삼창프라자 6층)",중소,울산지사,2023.12.22,1588-1519
121,2023.12.22,2023-12-22~2024-01-31,청주대학교,건물 청소원(클린마스터),상용직,시급,9620,무관,무관,무관,,    ,충청북도 청주시 청원구 대성로 298  (내덕동),중소,충북지사,2023.12.22,1588-1519
122,2023.12.22,2023-12-22~2024-01-30,주식회사 케이티탑,건물 청소원(클린마스터),계약직,시급,9860,무관,0년개월,무관,,    ,광주광역시 동구 중앙로 269 2층  (계림동),개인,광주지역본부,2023.12.28,1588-1519
123,2023.12.22,2023-12-22~2023-12-31,어둠속의빛(주),사회복지프로그램 운영자,상용직,시급,9620,무관,0년개월,무관,,    ,"광주광역시 광산구 앰코로 35 501-1호(쌍암동, 폭스존5층)",중소,광주지역본부,2023.12.22,1588-1519
124,2023.12.22,2023-12-22~2023-12-31,유베이스유니티(광주센터),물류센터 택배분류원,계약직,월급,1260220,무관,0년개월,무관,,    ,광주광역시 서구 시청로 26 (치평동) 9층,중소,광주지역본부,2023.12.26,1588-1519
125,2023.12.22,2023-12-22~2024-01-02,한국알프스(주),직업 운동선수,상용직,월급,1200000,무관,무관,무관,,    ,광주광역시 광산구 하남산단5번로 33 (장덕동),대기업,광주지역본부,2023.12.26,1588-1519
126,2023.12.22,2023-12-22~2024-02-29,광주광역시북구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,광주광역시 북구 용봉로138번길 11 358-3 (중흥동),"공사,공공",광주지역본부,2023.12.27,1588-1519
127,2023.12.22,2023-12-22~2024-02-01,(주)바른사람,기타 기계 조작원,상용직,시급,9860,무관,무관,무관,,    ,인천광역시 서구 승학로512번길 2 302호 (나주곰탕 건물 3층) (검암동),중소,인천지사,2023.12.29,1588-1519
128,2023.12.22,2023-12-22~2023-12-29,이룸시스템,환경 미화원,계약직,월급,900000,무관,0년개월,무관,,    ,경기도 수원시 장안구 화산로187번길 1 신원빌딩 601호(율전동),중소,인천지사,2023.12.22,1588-1519
129,2023.12.22,2023-12-22~2024-01-21,(주)위드림,"제품 포장원(섬유, 전기전자, 식품 제외)",상용직,월급,2080000,무관,무관,무관,,    ,경기도 오산시 가장산업동로 37 아모레퍼시픽 오산공장(가장동),중소,경기지역본부,2023.12.22,1588-1519
130,2023.12.22,2023-12-22~2024-01-31,(주)행복누리,판매 관리자(소규모 판매점장 제외),상용직,월급,2080000,무관,무관,무관,,    ,경기도 오산시 황새로 211  (가수동),중소,경기지역본부,2023.12.22,1588-1519
131,2023.12.22,2023-12-22~2024-01-31,주식회사나인테크,기타 서비스 단순종사원,계약직,시급,9620,무관,무관,무관,,    ,경기도 평택시 진위면 마산6로 6 (주)나인테크,중소,경기지역본부,2023.12.22,1588-1519
132,2023.12.22,2023-12-22~2024-02-21,한국로지스풀(주),사무 보조원,계약직,연봉,30000000,무관,무관,초대졸,,    ,"서울특별시 마포구 마포대로 63-8  (도화동, 삼창프라자 6층)",중소,경기지역본부,2023.12.22,1588-1519
133,2023.12.22,2023-12-22~2024-01-31,지에스씨넷 청주지점,사무 보조원,상용직,시급,9860,무관,0년개월,무관,,    ,충청북도 청주시 서원구 사직대로 95 4층 (사창동),중소,충북지사,2023.12.22,1588-1519
134,2023.12.22,2023-12-22~2024-01-31,(주)기린화장품,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9860,무관,무관,무관,,    ,충청북도 청주시 흥덕구 오송읍 오송생명1로 10 .,중소,충북지사,2023.12.22,1588-1519
135,2023.12.22,2023-12-22~2024-03-03,한국로지스풀(주),사무 보조원,계약직,연봉,30000000,무관,무관,초대졸,,    ,"서울특별시 마포구 마포대로 63-8  (도화동, 삼창프라자 6층)",중소,충북지사,2023.12.22,1588-1519
136,2023.12.22,2023-12-22~2024-01-06,(주)파인스,직업 운동선수,계약직,시급,9620,무관,무관,무관,,    ,경상북도 포항시 남구 상도로 5 재승트윈빌딩 A동 2층(상도동),개인,경북지사,2023.12.22,1588-1519
137,2023.12.22,2023-12-22~2024-01-21,주식회사 원익큐엔씨,환경 미화원,상용직,시급,9620,무관,무관,무관,,    ,경상북도 구미시 옥계2공단로 117 (구포동),중소,경북지사,2023.12.29,1588-1519
138,2023.12.22,2023-12-22~2023-12-28,(재)공간정보품질관리원,사무 보조원,계약직,연봉,24800000,무관,0년개월,무관,,    ,서울특별시 영등포구 양산로 91 1404호(당산동3가),"공사,공공",서울남부지사,2023.12.22,1588-1519
139,2023.12.22,2023-12-22~2024-02-01,인천글로벌캠퍼스운영재단,환경 미화원,상용직,시급,9860,무관,0년개월,무관,,    ,인천광역시 연수구 송도문화로 119 (송도동),"공사,공공",인천지사,2023.12.29,1588-1519
140,2023.12.22,2023-12-22~2024-01-26,(주)경신유엔엘,세탁원,상용직,시급,9860,무관,무관,무관,,    ,인천광역시 서구 건지로86번길 41 3층 (가좌동),중소,인천지사,2023.12.29,1588-1519
141,2023.12.22,2023-12-22~2024-02-20,(주)약진통상,총무 및 일반 사무원,계약직,시급,9860,무관,무관,무관,,    ,서울특별시 송파구 위례성대로 138 약진통상 빌딩,중소,서울동부지사,2023.12.22,1588-1519
142,2023.12.22,2023-12-22~2024-01-31,주식회사 뉴트리원,환경 미화원,상용직,월급,782100,무관,0년개월,무관,,    ,서울특별시 송파구 올림픽로 275-2 (신천동)12층,개인,서울동부지사,2023.12.22,1588-1519
143,2023.12.22,2023-12-22~2024-01-31,에이피알 커뮤니케이션즈,환경 미화원,계약직,시급,9860,무관,0년개월,무관,,    ,서울특별시 송파구 올림픽로 300 롯데월드타워 36층(신천동),중소,서울동부지사,2023.12.22,1588-1519
144,2023.12.22,2023-12-22~2024-02-23,쿠팡 주식회사,경영 기획 사무원,계약직,월급,2100000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 타워730(신천동),대기업,서울동부지사,2023.12.22,1588-1519
145,2023.12.22,2023-12-22~2023-12-31,세준푸드 농업회사법인(주),음료 제조기계 조작원,계약직,월급,2060740,무관,무관,무관,,    ,경기도 광주시 곤지암읍 가마을길 63 세준푸드 농업회사법인(주),중소,경기동부지사,2023.12.22,1588-1519
146,2023.12.22,2023-12-22~2024-01-31,주식회사 이노씨알엠,총무 및 일반 사무원,상용직,시급,9860,무관,0년개월,무관,,    ,"서울특별시 강남구 영동대로 602 (삼성동, 삼성동 미켈란 107)",중소,서울동부지사,2023.12.28,1588-1519
147,2023.12.22,2023-12-22~2024-01-31,한국로지스풀(주),사무 보조원,상용직,연봉,31200000,무관,무관,초대졸,,    ,"서울특별시 마포구 마포대로 63-8  (도화동, 삼창프라자 6층)",중소,경기동부지사,2023.12.22,1588-1519
148,2023.12.22,2023-12-22~2023-12-29,이룸시스템,건물 청소원(클린마스터),계약직,월급,897260,무관,0년개월,무관,,    ,경기도 수원시 장안구 화산로187번길 1 신원빌딩 601호(율전동),중소,경기서부지사,2023.12.22,1588-1519
149,2023.12.22,2023-12-22~2023-12-27,한국공학대학교 산학협력단,사무 보조원,계약직,월급,911240,무관,0년개월,무관,,    ,경기도 시흥시 산기대학로 237 (정왕동),"공사,공공",경기서부지사,2023.12.22,1588-1519
150,2023.12.22,2023-12-22~2023-12-29,서울중광초등학교,환경 미화원,계약직,시급,12030,무관,0년개월,무관,,    ,서울특별시 광진구 긴고랑로13길 59 (중곡동),"공사,공공",서울북부지사,2023.12.22,1588-1519
151,2023.12.22,2023-12-22~2024-01-31,(주)티디에스팜,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9860,무관,무관,무관,,    ,경기도 성남시 분당구 판교로 253 C동 403호(삼평동),중소,충북지사,2023.12.22,1588-1519
152,2023.12.21,2023-12-21~2024-01-04,쿠팡풀필먼트서비스유한회사,모니터 요원,계약직,월급,1080000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,강원지사,2023.12.21,1588-1519
153,2023.12.21,2023-12-21~2023-12-29,노원구청,복지시설 보조원,계약직,월급,1005290,무관,무관,무관,,    ,서울특별시 노원구 노해로 437 노원구청 (상계동),중소,서울북부지사,2023.12.28,1588-1519
154,2023.12.21,2023-12-21~2023-12-31,주식회사 대승엠엔에스 제주지점,직업 운동선수,계약직,시급,9620,무관,0년개월,무관,,    ,제주특별자치도 제주시 서광로29길 26 1층(이도일동),중소,제주지사,2023.12.21,1588-1519
155,2023.12.21,2023-12-21~2024-01-05,슈나이더일렉트릭코리아(주),건물 청소원(클린마스터),계약직,월급,1083000,무관,무관,무관,,    ,"서울특별시 마포구 성암로 189 14층 (상암동,중소기업 DMC 타워)",외국계,전북지사,2023.12.21,1588-1519
156,2023.12.21,2023-12-21~2024-01-12,한국특수가스(주),건물 청소원(클린마스터),계약직,시급,9620,무관,0년개월,무관,,    ,전라북도 익산시 서동로32길 11 한국특수가스 (금강동),중소,전북지사,2023.12.21,1588-1519
157,2023.12.21,2023-12-21~2023-12-24,주)효산,건물 경비원,상용직,월급,2800000,무관,0년개월,무관,,    ,대전광역시 유성구 신성로62번길 37 (신성동),중소,대전지역본부,2023.12.21,1588-1519
158,2023.12.21,2023-12-21~2024-02-29,롯데지알에스 주식회사,사무 보조원,계약직,시급,9860,무관,무관,무관,,    ,서울특별시 금천구 벚꽃로 104 1160 (독산동),중소,광주지역본부,2023.12.21,1588-1519
159,2023.12.21,2023-12-21~2024-03-20,지에스글로벌주식회사,총무 및 일반 사무원,상용직,연봉,25000000,무관,0년개월,고졸,,    ,광주광역시 북구 서림로81번길 1 (임동),중소,광주지역본부,2023.12.28,1588-1519
160,2023.12.21,2023-12-21~2024-01-31,(주)와이앤제이코리아,기타 기계 조작원,상용직,시급,9860,무관,0년개월,무관,,    ,인천광역시 서구 북항로 166 (원창동),개인,인천지사,2023.12.28,1588-1519
161,2023.12.21,2023-12-21~2024-01-31,광주광역시광산구청,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9860,무관,무관,무관,,    ,광주광역시 광산구 광산로29번길 15 (송정동),"공사,공공",광주지역본부,2023.12.27,1588-1519
162,2023.12.21,2023-12-21~2024-01-13,현대엠케이산업(주),세탁보조원,상용직,시급,9860,신입,무관,무관,,    ,경기도 화성시 안녕남로58번길 13-9  (안녕동),중소,경기지역본부,2023.12.21,1588-1519
163,2023.12.21,2023-12-21~2023-12-29,(주)현대그린푸드 미즈제일산후조리원,주방 보조원(일반 음식점),계약직,월급,1030370,무관,0년개월,무관,,    ,대전광역시 유성구 계룡로 126 (봉명동),대기업,대전지역본부,2023.12.21,1588-1519
164,2023.12.21,2023-12-21~2023-12-27,줄포자동차공업고등학교,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),계약직,시급,9620,무관,무관,무관,,    ,"전라북도 부안군 줄포면 우포로 10 (우포리, 줄포자동차공업고등학교)","공사,공공",전북지사,2023.12.21,1588-1519
165,2023.12.21,2023-12-21~2024-01-31,영주선비도서관,도서 정리원 및 사서보조원,계약직,시급,9620,무관,0년개월,무관,,    ,경상북도 영주시 영주로60번길 38 (가흥동),"공사,공공",경북지사,2023.12.27,1588-1519
166,2023.12.21,2023-12-21~2024-01-31,행복채움주식회사,건물 청소원(클린마스터),상용직,시급,9620,무관,무관,무관,,    ,경상북도 구미시 임수로 53  (임수동),중소,경북지사,2023.12.27,1588-1519
167,2023.12.21,2023-12-21~2024-01-31,미래전기주식회사,사무 보조원,계약직,시급,9620,무관,0년개월,무관,,    ,경상북도 구미시 박정희로 57 미래전기  (상모동),중소,경북지사,2023.12.27,1588-1519
168,2023.12.21,2023-12-21~2024-01-05,핑크다원,"제품 포장원(섬유, 전기전자, 식품 제외)",계약직,시급,9620,무관,0년개월,무관,,    ,경상북도 안동시 중앙시장4길 26-35 핑크다원(옥야동),개인,경북지사,2023.12.21,1588-1519
169,2023.12.21,2023-12-21~2024-01-31,오아세사회적협동조합,섬유제품 포장원,상용직,시급,9860,무관,0년개월,무관,,    ,전라남도 무안군 청계면 영산로 1666 103호,"협회,단체",전남지사,2023.12.26,1588-1519
170,2023.12.21,2023-12-21~2024-01-05,(주)국민은행,영업 기획·관리·지원 사무원,계약직,월급,2328000,무관,무관,고졸,,    ,서울특별시 영등포구 국제금융로8길 26 (여의도동) 국민은행 본점,대기업,서울남부지사,2023.12.21,1588-1519
